,country,continent,year,lifeExp,pop,gdpPercap,cluster
0,Afghanistan,Asia,1952,28.801,8425333,779.4453145,2
1,Afghanistan,Asia,1957,30.332,9240934,820.8530296,2
2,Afghanistan,Asia,1962,31.997,10267083,853.10071,2
3,Afghanistan,Asia,1967,34.02,11537966,836.1971382,2
4,Afghanistan,Asia,1972,36.088,13079460,739.9811058,2
5,Afghanistan,Asia,1977,38.438,14880372,786.11336,2
6,Afghanistan,Asia,1982,39.854,12881816,978.0114388,2
7,Afghanistan,Asia,1987,40.822,13867957,852.3959448,2
8,Afghanistan,Asia,1992,41.674,16317921,649.3413952,2
9,Afghanistan,Asia,1997,41.763,22227415,635.341351,2
10,Afghanistan,Asia,2002,42.129,25268405,726.7340548,2
11,Afghanistan,Asia,2007,43.828,31889923,974.5803384,2
12,Albania,Europe,1952,55.23,1282697,1601.056136,2
13,Albania,Europe,1957,59.28,1476505,1942.284244,2
14,Albania,Europe,1962,64.82,1728137,2312.888958,2
15,Albania,Europe,1967,66.22,1984060,2760.196931,2
16,Albania,Europe,1972,67.69,2263554,3313.422188,0
17,Albania,Europe,1977,68.93,2509048,3533.00391,0
18,Albania,Europe,1982,70.42,2780097,3630.880722,0
19,Albania,Europe,1987,72.0,3075321,3738.932735,0
20,Albania,Europe,1992,71.581,3326498,2497.437901,0
21,Albania,Europe,1997,72.95,3428038,3193.054604,0
22,Albania,Europe,2002,75.651,3508512,4604.211737,0
23,Albania,Europe,2007,76.423,3600523,5937.029526,0
24,Algeria,Africa,1952,43.077,9279525,2449.008185,2
25,Algeria,Africa,1957,45.685,10270856,3013.976023,2
26,Algeria,Africa,1962,48.303,11000948,2550.81688,2
27,Algeria,Africa,1967,51.407,12760499,3246.991771,2
28,Algeria,Africa,1972,54.518,14760787,4182.663766,2
29,Algeria,Africa,1977,58.014,17152804,4910.416756,2
30,Algeria,Africa,1982,61.368,20033753,5745.160213,2
31,Algeria,Africa,1987,65.799,23254956,5681.358539,0
32,Algeria,Africa,1992,67.744,26298373,5023.216647,0
33,Algeria,Africa,1997,69.152,29072015,4797.295051,0
34,Algeria,Africa,2002,70.994,31287142,5288.040382,0
35,Algeria,Africa,2007,72.301,33333216,6223.367465,0
36,Angola,Africa,1952,30.015,4232095,3520.610273,2
37,Angola,Africa,1957,31.999,4561361,3827.940465,2
38,Angola,Africa,1962,34.0,4826015,4269.276742,2
39,Angola,Africa,1967,35.985,5247469,5522.776375,2
40,Angola,Africa,1972,37.928,5894858,5473.288005,2
41,Angola,Africa,1977,39.483,6162675,3008.647355,2
42,Angola,Africa,1982,39.942,7016384,2756.953672,2
43,Angola,Africa,1987,39.906,7874230,2430.208311,2
44,Angola,Africa,1992,40.647,8735988,2627.845685,2
45,Angola,Africa,1997,40.963,9875024,2277.140884,2
46,Angola,Africa,2002,41.003,10866106,2773.287312,2
47,Angola,Africa,2007,42.731,12420476,4797.231267,2
48,Argentina,Americas,1952,62.485,17876956,5911.315053,2
49,Argentina,Americas,1957,64.399,19610538,6856.856212,0
50,Argentina,Americas,1962,65.142,21283783,7133.166023,0
51,Argentina,Americas,1967,65.634,22934225,8052.953021,0
52,Argentina,Americas,1972,67.065,24779799,9443.038526,0
53,Argentina,Americas,1977,68.481,26983828,10079.02674,0
54,Argentina,Americas,1982,69.942,29341374,8997.897412,0
55,Argentina,Americas,1987,70.774,31620918,9139.671389,0
56,Argentina,Americas,1992,71.868,33958947,9308.41871,0
57,Argentina,Americas,1997,73.275,36203463,10967.28195,0
58,Argentina,Americas,2002,74.34,38331121,8797.640716,0
59,Argentina,Americas,2007,75.32,40301927,12779.37964,0
60,Armenia,FSU,1992,68.663,3378331,1442.937796,0
61,Armenia,FSU,1997,70.377,3059000,1791.34719,0
62,Armenia,FSU,2002,71.403,3013818,2692.304039,0
63,Armenia,FSU,2007,71.965,2971650,4942.543911,0
64,Aruba,Americas,1972,70.941,59461,4939.758007,0
65,Aruba,Americas,1977,71.83,59412,7390.359942,0
66,Aruba,Americas,1982,74.116,61569,10874.91495,0
67,Aruba,Americas,1987,74.494,65415,17674.3389,0
68,Aruba,Americas,1992,74.108,67174,25120.54961,0
69,Aruba,Americas,1997,73.011,68341,26483.66862,0
70,Aruba,Americas,2002,73.451,70441,26467.87062,0
71,Aruba,Americas,2007,74.239,72194,27230.67521,0
72,Australia,Oceania,1950,69.02,8267337,10031.12138,0
73,Australia,Oceania,1951,68.72,8510600,10160.73672,0
74,Australia,Oceania,1952,69.12,8691212,10039.59564,0
75,Australia,Oceania,1953,69.7,8857924,10157.91298,0
76,Australia,Oceania,1954,69.85,9064017,10544.08738,0
77,Australia,Oceania,1955,70.17,9277087,10864.61774,0
78,Australia,Oceania,1956,70.05,9500606,10974.12837,0
79,Australia,Oceania,1957,70.33,9712569,10949.64959,0
80,Australia,Oceania,1958,70.88,9915267,11240.95886,0
81,Australia,Oceania,1959,70.45,10131729,11678.07069,0
82,Australia,Oceania,1960,70.89,10361273,11897.96372,0
83,Australia,Oceania,1961,71.16,10598814,11711.50002,0
84,Australia,Oceania,1962,70.93,10794968,12217.22686,0
85,Australia,Oceania,1963,70.99,11001483,12722.21702,0
86,Australia,Oceania,1964,70.65,11218304,13329.89726,0
87,Australia,Oceania,1965,70.98,11439384,13739.92688,0
88,Australia,Oceania,1966,70.82,11655083,13860.95806,0
89,Australia,Oceania,1967,71.1,11872264,14526.12465,0
90,Australia,Oceania,1968,70.73,12101660,15088.55836,0
91,Australia,Oceania,1969,71.14,12379384,15647.10938,0
92,Australia,Oceania,1970,70.81,12660160,16273.14214,0
93,Australia,Oceania,1971,71.41,12937200,16633.1259,0
94,Australia,Oceania,1972,71.93,13177000,16788.62948,0
95,Australia,Oceania,1973,72.14,13380400,17429.71805,0
96,Australia,Oceania,1974,71.89,13599100,17574.58167,0
97,Australia,Oceania,1975,72.84,13771400,17824.57038,0
98,Australia,Oceania,1976,72.88,13915500,18351.06793,0
99,Australia,Oceania,1977,73.49,14074100,18334.19751,0
100,Australia,Oceania,1978,73.88,14248600,18635.0381,0
101,Australia,Oceania,1979,74.44,14421900,19380.63562,0
102,Australia,Oceania,1980,74.6,14615900,19505.55452,0
103,Australia,Oceania,1981,74.97,14923260,19841.87946,0
