country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1952,28.801,8425333,779.4453145
Afghanistan,Asia,1957,30.332,9240934,820.8530296
Afghanistan,Asia,1962,31.997,10267083,853.10071
Afghanistan,Asia,1967,34.02,11537966,836.1971382
Afghanistan,Asia,1972,36.088,13079460,739.9811058
Afghanistan,Asia,1977,38.438,14880372,786.11336
Afghanistan,Asia,1982,39.854,12881816,978.0114388
Afghanistan,Asia,1987,40.822,13867957,852.3959448
Afghanistan,Asia,1992,41.674,16317921,649.3413952
Afghanistan,Asia,1997,41.763,22227415,635.341351
Afghanistan,Asia,2002,42.129,25268405,726.7340548
Afghanistan,Asia,2007,43.828,31889923,974.5803384
Albania,Europe,1952,55.23,1282697,1601.056136
Albania,Europe,1957,59.28,1476505,1942.284244
Albania,Europe,1962,64.82,1728137,2312.888958
Albania,Europe,1967,66.22,1984060,2760.196931
Albania,Europe,1972,67.69,2263554,3313.422188
Albania,Europe,1977,68.93,2509048,3533.00391
Albania,Europe,1982,70.42,2780097,3630.880722
Albania,Europe,1987,72.0,3075321,3738.932735
Albania,Europe,1992,71.581,3326498,2497.437901
Albania,Europe,1997,72.95,3428038,3193.054604
Albania,Europe,2002,75.651,3508512,4604.211737
Albania,Europe,2007,76.423,3600523,5937.029526
Algeria,Africa,1952,43.077,9279525,2449.008185
Algeria,Africa,1957,45.685,10270856,3013.976023
Algeria,Africa,1962,48.303,11000948,2550.81688
Algeria,Africa,1967,51.407,12760499,3246.991771
Algeria,Africa,1972,54.518,14760787,4182.663766
Algeria,Africa,1977,58.014,17152804,4910.416756
